subject,oddballtype,recall,sp,pfr
31,Emotional,remembered,2,0.133333333333333
32,Emotional,remembered,2,0.0769230769230769
33,Emotional,remembered,2,0.0666666666666667
34,Emotional,remembered,2,0
35,Emotional,remembered,2,0.0714285714285714
36,Emotional,remembered,2,0.0769230769230769
37,Emotional,remembered,2,0.142857142857143
38,Emotional,remembered,2,0
39,Emotional,remembered,2,0
40,Emotional,remembered,2,0.117647058823529
41,Emotional,remembered,2,0.0714285714285714
42,Emotional,remembered,2,0.0666666666666667
43,Emotional,remembered,2,0.0833333333333333
44,Emotional,remembered,2,0.125
45,Emotional,remembered,2,0.266666666666667
46,Emotional,remembered,2,0.0833333333333333
47,Emotional,remembered,2,0.266666666666667
48,Emotional,remembered,2,0
49,Emotional,remembered,2,0.142857142857143
50,Emotional,remembered,2,0
51,Emotional,remembered,2,0.384615384615385
52,Emotional,remembered,2,0.153846153846154
53,Emotional,remembered,2,0.333333333333333
54,Emotional,remembered,2,0.117647058823529
55,Emotional,remembered,2,0.1
56,Emotional,remembered,2,0
57,Emotional,remembered,2,0
58,Emotional,remembered,2,0
59,Emotional,remembered,2,0
60,Emotional,remembered,2,0.0769230769230769
61,Emotional,remembered,2,0
62,Emotional,remembered,2,0.142857142857143
63,Emotional,remembered,2,0
64,Emotional,remembered,2,0.142857142857143
65,Emotional,remembered,2,0.111111111111111
66,Emotional,remembered,2,0.125
67,Emotional,remembered,2,0.0714285714285714
68,Emotional,remembered,2,0
69,Emotional,remembered,2,0.266666666666667
70,Emotional,remembered,2,0.1
71,Emotional,remembered,2,0.0833333333333333
72,Emotional,remembered,2,0.3
73,Emotional,remembered,2,0.222222222222222
74,Emotional,remembered,2,0
75,Emotional,remembered,2,0.272727272727273
4,Emotional,remembered,3,0
5,Emotional,remembered,3,0
6,Emotional,remembered,3,0.0909090909090909
7,Emotional,remembered,3,0
9,Emotional,remembered,3,0.214285714285714
10,Emotional,remembered,3,0.153846153846154
11,Emotional,remembered,3,0
12,Emotional,remembered,3,0.176470588235294
14,Emotional,remembered,3,0.0666666666666667
15,Emotional,remembered,3,0.0625
16,Emotional,remembered,3,0.0833333333333333
17,Emotional,remembered,3,0.111111111111111
18,Emotional,remembered,3,0
19,Emotional,remembered,3,0
20,Emotional,remembered,3,0.0909090909090909
21,Emotional,remembered,3,0.1
22,Emotional,remembered,3,0
23,Emotional,remembered,3,0
24,Emotional,remembered,3,0
25,Emotional,remembered,3,0.0909090909090909
26,Emotional,remembered,3,0.111111111111111
27,Emotional,remembered,3,0
28,Emotional,remembered,3,0.0833333333333333
29,Emotional,remembered,3,0
30,Emotional,remembered,3,0.111111111111111
31,Emotional,remembered,3,0.133333333333333
32,Emotional,remembered,3,0.0769230769230769
33,Emotional,remembered,3,0.0666666666666667
34,Emotional,remembered,3,0.142857142857143
35,Emotional,remembered,3,0.0714285714285714
36,Emotional,remembered,3,0
37,Emotional,remembered,3,0
38,Emotional,remembered,3,0.0909090909090909
39,Emotional,remembered,3,0
40,Emotional,remembered,3,0.117647058823529
41,Emotional,remembered,3,0
42,Emotional,remembered,3,0.0666666666666667
43,Emotional,remembered,3,0
44,Emotional,remembered,3,0.125
45,Emotional,remembered,3,0.133333333333333
46,Emotional,remembered,3,0
47,Emotional,remembered,3,0.133333333333333
48,Emotional,remembered,3,0.111111111111111
49,Emotional,remembered,3,0.0714285714285714
50,Emotional,remembered,3,0.0714285714285714
51,Emotional,remembered,3,0
52,Emotional,remembered,3,0
53,Emotional,remembered,3,0
54,Emotional,remembered,3,0.176470588235294
55,Emotional,remembered,3,0
56,Emotional,remembered,3,0.222222222222222
57,Emotional,remembered,3,0
58,Emotional,remembered,3,0.142857142857143
59,Emotional,remembered,3,0.1
60,Emotional,remembered,3,0.153846153846154
61,Emotional,remembered,3,0.1
62,Emotional,remembered,3,0
63,Emotional,remembered,3,0
64,Emotional,remembered,3,0.142857142857143
65,Emotional,remembered,3,0.111111111111111
66,Emotional,remembered,3,0
67,Emotional,remembered,3,0
68,Emotional,remembered,3,0
69,Emotional,remembered,3,0.0666666666666667
70,Emotional,remembered,3,0.2
71,Emotional,remembered,3,0.0833333333333333
72,Emotional,remembered,3,0
73,Emotional,remembered,3,0
74,Emotional,remembered,3,0.25
75,Emotional,remembered,3,0.0909090909090909
4,Emotional,remembered,4,0
5,Emotional,remembered,4,0
6,Emotional,remembered,4,0
7,Emotional,remembered,4,0.125
9,Emotional,remembered,4,0
10,Emotional,remembered,4,0
11,Emotional,remembered,4,0.2
12,Emotional,remembered,4,0.0588235294117647
14,Emotional,remembered,4,0.0666666666666667
15,Emotional,remembered,4,0
16,Emotional,remembered,4,0
17,Emotional,remembered,4,0.111111111111111
18,Emotional,remembered,4,0.0588235294117647
19,Emotional,remembered,4,0.0909090909090909
20,Emotional,remembered,4,0
21,Emotional,remembered,4,0
22,Emotional,remembered,4,0
23,Emotional,remembered,4,0
24,Emotional,remembered,4,0
25,Emotional,remembered,4,0.0909090909090909
26,Emotional,remembered,4,0.111111111111111
27,Emotional,remembered,4,0.0666666666666667
28,Emotional,remembered,4,0.0833333333333333
29,Emotional,remembered,4,0.0625
30,Emotional,remembered,4,0
31,Emotional,remembered,4,0
32,Emotional,remembered,4,0.230769230769231
33,Emotional,remembered,4,0.2
34,Emotional,remembered,4,0
35,Emotional,remembered,4,0.0714285714285714
36,Emotional,remembered,4,0.153846153846154
37,Emotional,remembered,4,0.0714285714285714
38,Emotional,remembered,4,0
39,Emotional,remembered,4,0.1875
40,Emotional,remembered,4,0
41,Emotional,remembered,4,0
42,Emotional,remembered,4,0.0666666666666667
43,Emotional,remembered,4,0.0833333333333333
44,Emotional,remembered,4,0
45,Emotional,remembered,4,0
46,Emotional,remembered,4,0.0833333333333333
47,Emotional,remembered,4,0
48,Emotional,remembered,4,0
49,Emotional,remembered,4,0.0714285714285714
50,Emotional,remembered,4,0
51,Emotional,remembered,4,0
52,Emotional,remembered,4,0.0769230769230769
53,Emotional,remembered,4,0
54,Emotional,remembered,4,0.0588235294117647
55,Emotional,remembered,4,0.1
56,Emotional,remembered,4,0
57,Emotional,remembered,4,0
58,Emotional,remembered,4,0
59,Emotional,remembered,4,0
60,Emotional,remembered,4,0
61,Emotional,remembered,4,0.1
62,Emotional,remembered,4,0
63,Emotional,remembered,4,0.181818181818182
64,Emotional,remembered,4,0.0714285714285714
65,Emotional,remembered,4,0.111111111111111
66,Emotional,remembered,4,0.25
67,Emotional,remembered,4,0
68,Emotional,remembered,4,0.230769230769231
69,Emotional,remembered,4,0
70,Emotional,remembered,4,0
71,Emotional,remembered,4,0
72,Emotional,remembered,4,0.2
73,Emotional,remembered,4,0.111111111111111
74,Emotional,remembered,4,0
75,Emotional,remembered,4,0.0909090909090909
4,Emotional,remembered,5,0.111111111111111
5,Emotional,remembered,5,0.0833333333333333
6,Emotional,remembered,5,0
7,Emotional,remembered,5,0
9,Emotional,remembered,5,0.0714285714285714
10,Emotional,remembered,5,0
11,Emotional,remembered,5,0
12,Emotional,remembered,5,0.0588235294117647
14,Emotional,remembered,5,0.0666666666666667
15,Emotional,remembered,5,0
16,Emotional,remembered,5,0.0833333333333333
17,Emotional,remembered,5,0
18,Emotional,remembered,5,0
19,Emotional,remembered,5,0.0909090909090909
20,Emotional,remembered,5,0.181818181818182
21,Emotional,remembered,5,0
22,Emotional,remembered,5,0.0769230769230769
23,Emotional,remembered,5,0
24,Emotional,remembered,5,0
25,Emotional,remembered,5,0.0909090909090909
26,Emotional,remembered,5,0.111111111111111
27,Emotional,remembered,5,0.0666666666666667
28,Emotional,remembered,5,0
29,Emotional,remembered,5,0
30,Emotional,remembered,5,0
31,Emotional,remembered,5,0.2
32,Emotional,remembered,5,0.0769230769230769
33,Emotional,remembered,5,0
34,Emotional,remembered,5,0.0714285714285714
35,Emotional,remembered,5,0.142857142857143
36,Emotional,remembered,5,0
37,Emotional,remembered,5,0.0714285714285714
38,Emotional,remembered,5,0.0909090909090909
39,Emotional,remembered,5,0
40,Emotional,remembered,5,0
41,Emotional,remembered,5,0
42,Emotional,remembered,5,0.0666666666666667
43,Emotional,remembered,5,0
44,Emotional,remembered,5,0
45,Emotional,remembered,5,0.133333333333333
46,Emotional,remembered,5,0
47,Emotional,remembered,5,0.0666666666666667
48,Emotional,remembered,5,0
49,Emotional,remembered,5,0.0714285714285714
50,Emotional,remembered,5,0.0714285714285714
51,Emotional,remembered,5,0
52,Emotional,remembered,5,0
53,Emotional,remembered,5,0.166666666666667
54,Emotional,remembered,5,0
55,Emotional,remembered,5,0
56,Emotional,remembered,5,0
57,Emotional,remembered,5,0.142857142857143
58,Emotional,remembered,5,0
59,Emotional,remembered,5,0
60,Emotional,remembered,5,0
61,Emotional,remembered,5,0.1
62,Emotional,remembered,5,0
63,Emotional,remembered,5,0.0909090909090909
64,Emotional,remembered,5,0
65,Emotional,remembered,5,0
66,Emotional,remembered,5,0
67,Emotional,remembered,5,0.0714285714285714
68,Emotional,remembered,5,0.0769230769230769
69,Emotional,remembered,5,0
70,Emotional,remembered,5,0
71,Emotional,remembered,5,0
72,Emotional,remembered,5,0.1
73,Emotional,remembered,5,0
74,Emotional,remembered,5,0
75,Emotional,remembered,5,0.181818181818182
4,Emotional,remembered,6,0.222222222222222
5,Emotional,remembered,6,0.0833333333333333
6,Emotional,remembered,6,0.0909090909090909
7,Emotional,remembered,6,0.25
9,Emotional,remembered,6,0.0714285714285714
10,Emotional,remembered,6,0
11,Emotional,remembered,6,0
12,Emotional,remembered,6,0
14,Emotional,remembered,6,0
15,Emotional,remembered,6,0
16,Emotional,remembered,6,0
17,Emotional,remembered,6,0
18,Emotional,remembered,6,0
19,Emotional,remembered,6,0.0909090909090909
20,Emotional,remembered,6,0.0909090909090909
21,Emotional,remembered,6,0
22,Emotional,remembered,6,0
23,Emotional,remembered,6,0.111111111111111
24,Emotional,remembered,6,0
25,Emotional,remembered,6,0.0909090909090909
26,Emotional,remembered,6,0
27,Emotional,remembered,6,0.0666666666666667
28,Emotional,remembered,6,0.0833333333333333
29,Emotional,remembered,6,0.0625
30,Emotional,remembered,6,0
31,Emotional,remembered,6,0.0666666666666667
32,Emotional,remembered,6,0.0769230769230769
33,Emotional,remembered,6,0
34,Emotional,remembered,6,0
35,Emotional,remembered,6,0.0714285714285714
36,Emotional,remembered,6,0.0769230769230769
37,Emotional,remembered,6,0
38,Emotional,remembered,6,0
39,Emotional,remembered,6,0.125
40,Emotional,remembered,6,0.0588235294117647
41,Emotional,remembered,6,0
42,Emotional,remembered,6,0.0666666666666667
43,Emotional,remembered,6,0
44,Emotional,remembered,6,0.125
45,Emotional,remembered,6,0
46,Emotional,remembered,6,0.0833333333333333
47,Emotional,remembered,6,0
48,Emotional,remembered,6,0
49,Emotional,remembered,6,0
50,Emotional,remembered,6,0
51,Emotional,remembered,6,0.0769230769230769
52,Emotional,remembered,6,0.0769230769230769
53,Emotional,remembered,6,0
54,Emotional,remembered,6,0.0588235294117647
55,Emotional,remembered,6,0.1
56,Emotional,remembered,6,0.222222222222222
57,Emotional,remembered,6,0.142857142857143
58,Emotional,remembered,6,0.214285714285714
59,Emotional,remembered,6,0
60,Emotional,remembered,6,0
61,Emotional,remembered,6,0
62,Emotional,remembered,6,0
63,Emotional,remembered,6,0.0909090909090909
64,Emotional,remembered,6,0
65,Emotional,remembered,6,0
66,Emotional,remembered,6,0.125
67,Emotional,remembered,6,0
68,Emotional,remembered,6,0
69,Emotional,remembered,6,0.0666666666666667
70,Emotional,remembered,6,0
71,Emotional,remembered,6,0
72,Emotional,remembered,6,0
73,Emotional,remembered,6,0
74,Emotional,remembered,6,0
75,Emotional,remembered,6,0.0909090909090909
4,Emotional,remembered,7,0
5,Emotional,remembered,7,0.0833333333333333
6,Emotional,remembered,7,0.0909090909090909
7,Emotional,remembered,7,0
9,Emotional,remembered,7,0.0714285714285714
10,Emotional,remembered,7,0.0769230769230769
11,Emotional,remembered,7,0
12,Emotional,remembered,7,0
14,Emotional,remembered,7,0
15,Emotional,remembered,7,0
16,Emotional,remembered,7,0
17,Emotional,remembered,7,0.222222222222222
18,Emotional,remembered,7,0.117647058823529
19,Emotional,remembered,7,0
20,Emotional,remembered,7,0.181818181818182
21,Emotional,remembered,7,0
22,Emotional,remembered,7,0
23,Emotional,remembered,7,0
24,Emotional,remembered,7,0.0909090909090909
25,Emotional,remembered,7,0
26,Emotional,remembered,7,0.222222222222222
27,Emotional,remembered,7,0.0666666666666667
28,Emotional,remembered,7,0.25
29,Emotional,remembered,7,0
30,Emotional,remembered,7,0
31,Emotional,remembered,7,0.0666666666666667
32,Emotional,remembered,7,0
33,Emotional,remembered,7,0.0666666666666667
34,Emotional,remembered,7,0.0714285714285714
35,Emotional,remembered,7,0
36,Emotional,remembered,7,0.0769230769230769
37,Emotional,remembered,7,0.142857142857143
38,Emotional,remembered,7,0.0909090909090909
39,Emotional,remembered,7,0
40,Emotional,remembered,7,0.117647058823529
41,Emotional,remembered,7,0.214285714285714
42,Emotional,remembered,7,0.0666666666666667
43,Emotional,remembered,7,0.0833333333333333
44,Emotional,remembered,7,0
45,Emotional,remembered,7,0
46,Emotional,remembered,7,0
47,Emotional,remembered,7,0.133333333333333
48,Emotional,remembered,7,0
49,Emotional,remembered,7,0
50,Emotional,remembered,7,0.142857142857143
51,Emotional,remembered,7,0.0769230769230769
52,Emotional,remembered,7,0.153846153846154
53,Emotional,remembered,7,0
54,Emotional,remembered,7,0.0588235294117647
55,Emotional,remembered,7,0.1
56,Emotional,remembered,7,0.111111111111111
57,Emotional,remembered,7,0
58,Emotional,remembered,7,0.142857142857143
59,Emotional,remembered,7,0.1
60,Emotional,remembered,7,0.0769230769230769
61,Emotional,remembered,7,0
62,Emotional,remembered,7,0
63,Emotional,remembered,7,0
64,Emotional,remembered,7,0.0714285714285714
65,Emotional,remembered,7,0
66,Emotional,remembered,7,0.125
67,Emotional,remembered,7,0
68,Emotional,remembered,7,0
69,Emotional,remembered,7,0.133333333333333
70,Emotional,remembered,7,0.1
71,Emotional,remembered,7,0.166666666666667
72,Emotional,remembered,7,0
73,Emotional,remembered,7,0.111111111111111
74,Emotional,remembered,7,0
75,Emotional,remembered,7,0.0909090909090909
4,Emotional,remembered,8,0
5,Emotional,remembered,8,0.0833333333333333
6,Emotional,remembered,8,0.0909090909090909
7,Emotional,remembered,8,0
9,Emotional,remembered,8,0.0714285714285714
10,Emotional,remembered,8,0.0769230769230769
11,Emotional,remembered,8,0
12,Emotional,remembered,8,0
14,Emotional,remembered,8,0
15,Emotional,remembered,8,0.0625
16,Emotional,remembered,8,0
17,Emotional,remembered,8,0
18,Emotional,remembered,8,0
19,Emotional,remembered,8,0.0909090909090909
20,Emotional,remembered,8,0
21,Emotional,remembered,8,0
22,Emotional,remembered,8,0
23,Emotional,remembered,8,0
24,Emotional,remembered,8,0
25,Emotional,remembered,8,0.181818181818182
26,Emotional,remembered,8,0.111111111111111
27,Emotional,remembered,8,0.0666666666666667
28,Emotional,remembered,8,0.0833333333333333
29,Emotional,remembered,8,0.0625
30,Emotional,remembered,8,0
31,Emotional,remembered,8,0.0666666666666667
32,Emotional,remembered,8,0.0769230769230769
33,Emotional,remembered,8,0.2
34,Emotional,remembered,8,0.0714285714285714
35,Emotional,remembered,8,0
36,Emotional,remembered,8,0.0769230769230769
37,Emotional,remembered,8,0
38,Emotional,remembered,8,0
39,Emotional,remembered,8,0.0625
40,Emotional,remembered,8,0.117647058823529
41,Emotional,remembered,8,0.214285714285714
42,Emotional,remembered,8,0
43,Emotional,remembered,8,0
44,Emotional,remembered,8,0
45,Emotional,remembered,8,0
46,Emotional,remembered,8,0
47,Emotional,remembered,8,0.0666666666666667
48,Emotional,remembered,8,0.111111111111111
49,Emotional,remembered,8,0.0714285714285714
50,Emotional,remembered,8,0.0714285714285714
51,Emotional,remembered,8,0
52,Emotional,remembered,8,0
53,Emotional,remembered,8,0.0833333333333333
54,Emotional,remembered,8,0.0588235294117647
55,Emotional,remembered,8,0
56,Emotional,remembered,8,0
57,Emotional,remembered,8,0.142857142857143
58,Emotional,remembered,8,0
59,Emotional,remembered,8,0.1
60,Emotional,remembered,8,0.0769230769230769
61,Emotional,remembered,8,0.1
62,Emotional,remembered,8,0
63,Emotional,remembered,8,0
64,Emotional,remembered,8,0
65,Emotional,remembered,8,0
66,Emotional,remembered,8,0
67,Emotional,remembered,8,0.0714285714285714
68,Emotional,remembered,8,0
69,Emotional,remembered,8,0
70,Emotional,remembered,8,0
71,Emotional,remembered,8,0.166666666666667
72,Emotional,remembered,8,0.1
73,Emotional,remembered,8,0.111111111111111
74,Emotional,remembered,8,0
75,Emotional,remembered,8,0
4,Emotional,remembered,9,0
5,Emotional,remembered,9,0
6,Emotional,remembered,9,0
7,Emotional,remembered,9,0
9,Emotional,remembered,9,0.0714285714285714
10,Emotional,remembered,9,0
11,Emotional,remembered,9,0
12,Emotional,remembered,9,0
14,Emotional,remembered,9,0.0666666666666667
15,Emotional,remembered,9,0
16,Emotional,remembered,9,0
17,Emotional,remembered,9,0.111111111111111
18,Emotional,remembered,9,0.0588235294117647
19,Emotional,remembered,9,0.0909090909090909
20,Emotional,remembered,9,0
21,Emotional,remembered,9,0.1
22,Emotional,remembered,9,0
23,Emotional,remembered,9,0.111111111111111
24,Emotional,remembered,9,0
25,Emotional,remembered,9,0
26,Emotional,remembered,9,0
27,Emotional,remembered,9,0
28,Emotional,remembered,9,0.0833333333333333
29,Emotional,remembered,9,0.0625
30,Emotional,remembered,9,0
31,Emotional,remembered,9,0
32,Emotional,remembered,9,0.0769230769230769
33,Emotional,remembered,9,0.0666666666666667
34,Emotional,remembered,9,0
35,Emotional,remembered,9,0
36,Emotional,remembered,9,0.0769230769230769
37,Emotional,remembered,9,0
38,Emotional,remembered,9,0.0909090909090909
39,Emotional,remembered,9,0.0625
40,Emotional,remembered,9,0
41,Emotional,remembered,9,0.142857142857143
42,Emotional,remembered,9,0
43,Emotional,remembered,9,0.0833333333333333
44,Emotional,remembered,9,0
45,Emotional,remembered,9,0
46,Emotional,remembered,9,0.0833333333333333
47,Emotional,remembered,9,0
48,Emotional,remembered,9,0.111111111111111
49,Emotional,remembered,9,0.142857142857143
50,Emotional,remembered,9,0
51,Emotional,remembered,9,0
52,Emotional,remembered,9,0
53,Emotional,remembered,9,0
54,Emotional,remembered,9,0
55,Emotional,remembered,9,0
56,Emotional,remembered,9,0
57,Emotional,remembered,9,0
58,Emotional,remembered,9,0
59,Emotional,remembered,9,0
60,Emotional,remembered,9,0
61,Emotional,remembered,9,0
62,Emotional,remembered,9,0
63,Emotional,remembered,9,0
64,Emotional,remembered,9,0
65,Emotional,remembered,9,0
66,Emotional,remembered,9,0
67,Emotional,remembered,9,0.0714285714285714
68,Emotional,remembered,9,0.0769230769230769
69,Emotional,remembered,9,0
70,Emotional,remembered,9,0.1
71,Emotional,remembered,9,0.0833333333333333
72,Emotional,remembered,9,0.1
73,Emotional,remembered,9,0
74,Emotional,remembered,9,0
75,Emotional,remembered,9,0.0909090909090909
4,Emotional,remembered,10,0
5,Emotional,remembered,10,0.0833333333333333
6,Emotional,remembered,10,0.0909090909090909
7,Emotional,remembered,10,0.125
9,Emotional,remembered,10,0
10,Emotional,remembered,10,0.153846153846154
11,Emotional,remembered,10,0.0666666666666667
12,Emotional,remembered,10,0
14,Emotional,remembered,10,0
15,Emotional,remembered,10,0.0625
16,Emotional,remembered,10,0
17,Emotional,remembered,10,0.111111111111111
18,Emotional,remembered,10,0.117647058823529
19,Emotional,remembered,10,0.181818181818182
20,Emotional,remembered,10,0
21,Emotional,remembered,10,0.2
22,Emotional,remembered,10,0
23,Emotional,remembered,10,0
24,Emotional,remembered,10,0
25,Emotional,remembered,10,0
26,Emotional,remembered,10,0
27,Emotional,remembered,10,0
28,Emotional,remembered,10,0
29,Emotional,remembered,10,0.0625
30,Emotional,remembered,10,0.111111111111111
31,Emotional,remembered,10,0
32,Emotional,remembered,10,0
33,Emotional,remembered,10,0
34,Emotional,remembered,10,0
35,Emotional,remembered,10,0
36,Emotional,remembered,10,0
37,Emotional,remembered,10,0
38,Emotional,remembered,10,0.181818181818182
39,Emotional,remembered,10,0
40,Emotional,remembered,10,0
41,Emotional,remembered,10,0
42,Emotional,remembered,10,0.0666666666666667
43,Emotional,remembered,10,0.0833333333333333
44,Emotional,remembered,10,0.125
45,Emotional,remembered,10,0.2
46,Emotional,remembered,10,0
47,Emotional,remembered,10,0.133333333333333
48,Emotional,remembered,10,0
49,Emotional,remembered,10,0.0714285714285714
50,Emotional,remembered,10,0.142857142857143
51,Emotional,remembered,10,0
52,Emotional,remembered,10,0
53,Emotional,remembered,10,0
54,Emotional,remembered,10,0.0588235294117647
55,Emotional,remembered,10,0.1
56,Emotional,remembered,10,0
57,Emotional,remembered,10,0.142857142857143
58,Emotional,remembered,10,0.0714285714285714
59,Emotional,remembered,10,0
60,Emotional,remembered,10,0.0769230769230769
61,Emotional,remembered,10,0.1
62,Emotional,remembered,10,0
63,Emotional,remembered,10,0
64,Emotional,remembered,10,0.0714285714285714
65,Emotional,remembered,10,0
66,Emotional,remembered,10,0.125
67,Emotional,remembered,10,0
68,Emotional,remembered,10,0.0769230769230769
69,Emotional,remembered,10,0.0666666666666667
70,Emotional,remembered,10,0.2
71,Emotional,remembered,10,0.0833333333333333
72,Emotional,remembered,10,0.1
73,Emotional,remembered,10,0
74,Emotional,remembered,10,0
75,Emotional,remembered,10,0
4,Emotional,remembered,11,0.111111111111111
5,Emotional,remembered,11,0.0833333333333333
6,Emotional,remembered,11,0
7,Emotional,remembered,11,0
9,Emotional,remembered,11,0
10,Emotional,remembered,11,0
11,Emotional,remembered,11,0
12,Emotional,remembered,11,0.0588235294117647
14,Emotional,remembered,11,0
15,Emotional,remembered,11,0.0625
16,Emotional,remembered,11,0
17,Emotional,remembered,11,0
18,Emotional,remembered,11,0
19,Emotional,remembered,11,0
20,Emotional,remembered,11,0
21,Emotional,remembered,11,0
22,Emotional,remembered,11,0.0769230769230769
23,Emotional,remembered,11,0
24,Emotional,remembered,11,0.363636363636364
25,Emotional,remembered,11,0
26,Emotional,remembered,11,0
27,Emotional,remembered,11,0.0666666666666667
28,Emotional,remembered,11,0.0833333333333333
29,Emotional,remembered,11,0.0625
30,Emotional,remembered,11,0
31,Emotional,remembered,11,0.133333333333333
32,Emotional,remembered,11,0
33,Emotional,remembered,11,0.0666666666666667
34,Emotional,remembered,11,0.0714285714285714
35,Emotional,remembered,11,0.0714285714285714
36,Emotional,remembered,11,0.153846153846154
37,Emotional,remembered,11,0.0714285714285714
38,Emotional,remembered,11,0
39,Emotional,remembered,11,0.0625
40,Emotional,remembered,11,0
41,Emotional,remembered,11,0.142857142857143
42,Emotional,remembered,11,0.2
43,Emotional,remembered,11,0
44,Emotional,remembered,11,0
45,Emotional,remembered,11,0.2
46,Emotional,remembered,11,0.0833333333333333
47,Emotional,remembered,11,0.0666666666666667
48,Emotional,remembered,11,0
49,Emotional,remembered,11,0
50,Emotional,remembered,11,0
51,Emotional,remembered,11,0
52,Emotional,remembered,11,0.153846153846154
53,Emotional,remembered,11,0.166666666666667
54,Emotional,remembered,11,0
55,Emotional,remembered,11,0.1
56,Emotional,remembered,11,0
57,Emotional,remembered,11,0
58,Emotional,remembered,11,0.0714285714285714
59,Emotional,remembered,11,0
60,Emotional,remembered,11,0.0769230769230769
61,Emotional,remembered,11,0.1
62,Emotional,remembered,11,0
63,Emotional,remembered,11,0.0909090909090909
64,Emotional,remembered,11,0.0714285714285714
65,Emotional,remembered,11,0.111111111111111
66,Emotional,remembered,11,0
67,Emotional,remembered,11,0.0714285714285714
68,Emotional,remembered,11,0
69,Emotional,remembered,11,0
70,Emotional,remembered,11,0.1
71,Emotional,remembered,11,0
72,Emotional,remembered,11,0
73,Emotional,remembered,11,0
74,Emotional,remembered,11,0.25
75,Emotional,remembered,11,0
4,Emotional,remembered,12,0.111111111111111
5,Emotional,remembered,12,0.166666666666667
